Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
08.01.2020,-28.87,EUR,Domains
10.01.2020,-35.88,EUR,Domains
04.02.2020,-4.99,EUR,Domains
11.02.2020,-119.4,EUR,Domains
03.03.2020,-4.99,EUR,Domains
12.03.2020,-23.88,EUR,Domains
31.03.2020,-38.38,EUR,Kontoführung
31.03.2020,-0.06,EUR,Kapitalertragsteuer
31.03.2020,0.24,EUR,Zinsen
02.04.2020,-4.99,EUR,Domains
05.05.2020,-28.87,EUR,Domains
03.06.2020,-4.99,EUR,Domains
30.06.2020,-36.73,EUR,Kontoführung
30.06.2020,-0.06,EUR,Kapitalertragsteuer
30.06.2020,0.23,EUR,Zinsen
02.07.2020,-28.87,EUR,Domains
31.07.2020,-4.99,EUR,Domains
04.08.2020,-23.88,EUR,Domains
12.08.2020,-675,EUR,Miete
12.08.2020,-766,EUR,Honorarnoten
13.08.2020,-134.5,EUR,Miete
25.08.2020,-47.76,EUR,Domains
02.09.2020,-4.99,EUR,Domains
25.09.2020,-224,EUR,Miete
30.09.2020,-39.43,EUR,Kontoführung
30.09.2020,-0.06,EUR,Kapitalertragsteuer
30.09.2020,0.22,EUR,Zinsen
01.10.2020,-224,EUR,Miete
02.10.2020,-4.99,EUR,Domains
12.10.2020,-23.88,EUR,Domains
13.10.2020,-47.76,EUR,Domains
27.10.2020,-122.34,EUR,Miete
02.11.2020,-4.99,EUR,Domains
02.11.2020,-224,EUR,Miete
03.11.2020,-23.88,EUR,Domains
06.11.2020,-47.76,EUR,Domains
01.12.2020,-224,EUR,Miete
03.12.2020,-52.75,EUR,Domains
31.12.2020,-40.76,EUR,Kontoführung
31.12.2020,-0.04,EUR,Kapitalertragsteuer
31.12.2020,0.17,EUR,Zinsen
