Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
02.01.2017,-1260,EUR,"Werbung (zB. Facebook, Radio, Print)"
02.01.2017,-1407.6,EUR,Kontoübertrag
02.01.2017,-3447.72,EUR,Kontoübertrag
17.01.2017,0,EUR,Guthaben auf Girokonten und Spareinlagen sind gemäß Einlagensicherungs- und Anlegerentschädigungsgesetz erstattungsfähig. Nähere Informationen dazu entnehmen Sie bitte dem 'Informationsbogen für den Einleger' - abholbereit in jeder Filiale bzw. abrufbar unter: www.erstebank.at/einlagensicherung und www.sparkasse.at/einlagensicherung.
25.01.2017,-304.2,EUR,"Druck (Druckkosten, Flyer Plakate)"
25.01.2017,-210.5,EUR,"Druck (Druckkosten, Flyer Plakate)"
25.01.2017,-1359.62,EUR,"Druck (Druckkosten, Flyer Plakate)"
