Buchungsdatum,Betrag,Währung,Buchungstext KURZ (nur grobe Info)
04.01.2019,-4.99,EUR,Domains
09.01.2019,-35.88,EUR,Domains
01.02.2019,-4.99,EUR,Domains
13.02.2019,-119.4,EUR,Domains
06.03.2019,-4.99,EUR,Domains
14.03.2019,-23.88,EUR,Domains
29.03.2019,-37.22,EUR,Kontoführung
29.03.2019,-0.06,EUR,Kapitalertragsteuer
29.03.2019,0.24,EUR,Zinsen
03.04.2019,-4.99,EUR,Domains
03.05.2019,-4.99,EUR,Domains
09.05.2019,-23.88,EUR,Domains
04.06.2019,-4.99,EUR,Domains
28.06.2019,-37.26,EUR,Kontoführung
28.06.2019,-0.06,EUR,Kapitalertragsteuer
28.06.2019,0.25,EUR,Zinsen
03.07.2019,-28.87,EUR,Domains
02.08.2019,-4.99,EUR,Domains
05.08.2019,-23.88,EUR,Domains
28.08.2019,-47.76,EUR,Domains
03.09.2019,-4.99,EUR,Domains
30.09.2019,-37.81,EUR,Kontoführung
30.09.2019,-0.06,EUR,Kapitalertragsteuer
30.09.2019,0.25,EUR,Zinsen
02.10.2019,-4.99,EUR,Domains
10.10.2019,-23.88,EUR,Domains
11.10.2019,-47.76,EUR,Domains
06.11.2019,-28.87,EUR,Domains
08.11.2019,-47.76,EUR,Domains
04.12.2019,-52.75,EUR,Domains
31.12.2019,-38.37,EUR,Kontoführung
31.12.2019,-0.06,EUR,Kapitalertragsteuer
31.12.2019,0.25,EUR,Zinsen
